"Package","Version"
"Rcpp","1.0.14"
"pillar","1.10.1"
"compiler","4.2.3"
"nloptr","2.0.3"
"methods","4.2.3"
"reformulas","0.4.0"
"utils","4.2.3"
"tools","4.2.3"
"grDevices","4.2.3"
"boot","1.3.31"
"lme4","1.1.37"
"digest","0.6.37"
"evaluate","1.0.1"
"lifecycle","1.0.4"
"tibble","3.2.1"
"nlme","3.1.164"
"gtable","0.3.6"
"lattice","0.22.6"
"pkgconfig","2.0.3"
"rlang","1.1.5"
"Matrix","1.6.4"
"cli","3.6.4"
"rstudioapi","0.17.0"
"yaml","2.3.10"
"xfun","0.48"
"fastmap","1.2.0"
"knitr","1.48"
"dplyr","1.1.4"
"generics","0.1.3"
"vctrs","0.6.5"
"graphics","4.2.3"
"datasets","4.2.3"
"stats","4.2.3"
"lmerTest","3.1.3"
"grid","4.2.3"
"tidyselect","1.2.1"
"glue","1.8.0"
"base","4.2.3"
"R6","2.6.1"
"Rdpack","2.6.3"
"rmarkdown","2.28"
"minqa","1.2.6"
"ggplot2","3.5.1"
"magrittr","2.0.3"
"scales","1.3.0"
"htmltools","0.5.8.1"
"rbibutils","2.3"
"MASS","7.3.60.0.1"
"splines","4.2.3"
"colorspace","2.1.1"
"numDeriv","2016.8.1.1"
"munsell","0.5.1"
